SecurityID,TradeTime,TradePrice,TradeQty,TradeAmount,BuyNo,SellNo,TradeIndex,ChannelNo,TradeBSFlag,BizIndex
600000,20220426093000090,7.850,300,2355.000,161862,133939,30392,5,B,199630
600000,20220426093000350,7.850,700,5495.000,165834,133939,32231,5,B,205165
600000,20220426093000350,7.850,1000,7850.000,165834,162659,32232,5,B,205166
600000,20220426093000350,7.850,1100,8635.000,165834,165415,32233,5,B,205167
600000,20220426093000470,7.850,200,1570.000,165834,166282,32413,5,S,205754
600000,20220426093000470,7.840,300,2352.000,140217,166282,32414,5,S,205755
600000,20220426093000470,7.840,357,2798.880,140217,167239,32815,5,S,207041
600000,20220426093000470,7.840,1300,10192.000,152536,167239,32816,5,S,207042
600000,20220426093000470,7.840,843,6609.120,153770,167239,32817,5,S,207043
600000,20220426093000730,7.850,2000,15700.000,170331,167864,34049,5,B,211065
600000,20220426093002100,7.850,1000,7850.000,170331,187365,40172,5,S,233086
600000,20220426093002360,7.860,100,786.000,190564,11104,41168,5,B,237056
600000,20220426093002850,7.860,1500,11790.000,197563,11104,43608,5,B,246008
600000,20220426093003530,7.850,2000,15700.000,170331,206280,46687,5,S,257107
600000,20220426093003590,7.850,200,1570.000,170331,207633,47220,5,S,258843
600000,20220426093003720,7.850,2800,21980.000,170331,208295,47481,5,S,259715
600000,20220426093003720,7.850,100,785.000,176902,208295,47482,5,S,259716
600000,20220426093003720,7.850,100,785.000,178411,208295,47483,5,S,259717
600000,20220426093003840,7.860,500,3930.000,210698,11104,48226,5,B,262632
600000,20220426093003840,7.850,500,3925.000,178411,211333,48428,5,S,263408
600000,20220426093003840,7.850,500,3925.000,178968,211333,48429,5,S,263409
600000,20220426093003840,7.850,200,1570.000,183586,211333,48430,5,S,263410
600000,20220426093003840,7.850,100,785.000,185683,211333,48431,5,S,263411
600000,20220426093003840,7.850,500,3925.000,188074,211333,48432,5,S,263412
600000,20220426093003840,7.850,100,785.000,188312,211333,48433,5,S,263413
600000,20220426093003840,7.850,300,2355.000,192541,211333,48434,5,S,263414
600000,20220426093004510,7.850,1000,7850.000,192541,218619,51124,5,S,272785
600000,20220426093004510,7.850,900,7065.000,199322,218619,51125,5,S,272786
600000,20220426093004510,7.850,1800,14130.000,201039,218619,51126,5,S,272787
600000,20220426093004640,7.860,1000,7860.000,221206,11104,52009,5,B,276001
600000,20220426093004640,7.850,600,4710.000,201039,221207,52010,5,S,276002
600000,20220426093004890,7.850,1600,12560.000,201039,224058,53063,5,S,279612
600000,20220426093005140,7.850,200,1570.000,201039,227671,54300,5,S,284065
600000,20220426093005140,7.850,900,7065.000,201039,228068,54443,5,S,284540
600000,20220426093005140,7.850,2500,19625.000,201938,228068,54444,5,S,284541
600000,20220426093005140,7.850,100,785.000,201938,228437,54600,5,S,285007
600000,20220426093005140,7.850,100,785.000,201938,228438,54601,5,S,285008
600000,20220426093005140,7.850,200,1570.000,201938,228439,54602,5,S,285009
600000,20220426093005140,7.850,200,1570.000,201938,228515,54644,5,S,285101
600000,20220426093005140,7.850,100,785.000,201938,228553,54655,5,S,285143
600000,20220426093005530,7.850,100,785.000,201938,232570,56094,5,S,290147
600000,20220426093005530,7.850,200,1570.000,201938,233025,56255,5,S,290693
600000,20220426093005530,7.850,100,785.000,201938,233026,56256,5,S,290694
600000,20220426093005530,7.850,200,1570.000,201938,233027,56257,5,S,290695
600000,20220426093005860,7.850,300,2355.000,201938,236021,57322,5,S,294297
600000,20220426093005860,7.850,100,785.000,201938,236546,57542,5,S,294933
600000,20220426093005860,7.850,700,5495.000,201938,237215,57763,5,S,295712
600000,20220426093005980,7.850,100,785.000,201938,237419,57812,5,S,295949
600000,20220426093005980,7.850,100,785.000,202261,237419,57813,5,S,295950
600000,20220426093005980,7.850,200,1570.000,204177,237419,57814,5,S,295951
600000,20220426093005980,7.850,300,2355.000,204177,237420,57815,5,S,295952
600000,20220426093005980,7.850,400,3140.000,204177,237421,57816,5,S,295953
600000,20220426093005980,7.850,400,3140.000,204177,237422,57817,5,S,295954
600000,20220426093005980,7.850,500,3925.000,204177,237424,57819,5,S,295956
600000,20220426093005980,7.850,300,2355.000,204177,237702,57922,5,S,296300
600000,20220426093005980,7.850,400,3140.000,204177,237703,57923,5,S,296301
600000,20220426093005980,7.850,700,5495.000,204177,237704,57924,5,S,296302
600000,20220426093005980,7.850,100,785.000,204177,237946,58034,5,S,296635
600000,20220426093005980,7.850,400,3140.000,204177,237947,58035,5,S,296636
600000,20220426093005980,7.850,100,785.000,204177,237950,58038,5,S,296639
600000,20220426093006780,7.850,300,2355.000,204177,247414,61214,5,S,308266
